Config	m	n	t	l	dm	dn	dt	dl	pm	pn	pt	pl	nan	res	err
1	0.06	0.05	1.0	1.301	0.0	0.0	0.10	0.005	0.00001	0.00001	0.00001	0.00001 0	28.622	5.72537
2	0.10	0.05	0.814	1.301	0.0	0.0	0.10	0.005	0.00001	0.00001	0.00001	0.00001 0	11.7809	2.89488
3	0.10	0.09	2.15	1.301	0.0	0.0	0.10	0.005	0.00001	0.00001	0.00001	0.00001 0	10.6951	0.995733
4	0.15	0.05	0.634	1.301	0.0	0.0	0.10	0.005	0.00001	0.00001	0.00001	0.00001 0	12.9467	4.08434
5	0.07	0.05	1.16	1.301	0.0	0.0	0.10	0.005	0.00001	0.00001	0.00001	0.00001	0	11.6023	2.00086
